openlibrary_work_key,title,original_title,description,release_year,image_url,external_rating_average,external_rating_count,first_publish_year,author_names,pages
OL14917547W,Works (Carrie / Night Shift / 'Salem's Lot / Shining),Works (Carrie / Night Shift / 'Salem's Lot / Shining),"Contains:

 - [Carrie][4]
 - [Night Shift][3]
 - ['Salem's Lot][2]
 - [Shining][1]

  [1]: https://openlibrary.org/works/OL81633W
  [2]: https://openlibrary.org/works/OL81632W
  [3]: https://openlibrary.org/works/OL81608W
  [4]: https://openlibrary.org/works/OL81626W/Carrie",1981,https://covers.openlibrary.org/b/id/12015639-L.jpg,4.818182,22,1981,Stephen King,992
OL17116910W,The Nightingale,The Nightingale,"Despite their differences, sisters Vianne and Isabelle have always been close. Younger, bolder Isabelle lives in Paris while Vianne is content with life in the French countryside with her husband Antoine and their daughter. But when the Second World War strikes, Antoine is sent off to fight and Vianne finds herself isolated so Isabelle is sent by their father to help her. 

As the war progresses, the sisters' relationship and strength are tested. With life changing in unbelievably horrific ways, Vianne and Isabelle will find themselves facing frightening situations and responding in ways they never thought possible as bravery and resistance take different forms in each of their actions.",2000,https://covers.openlibrary.org/b/id/8314147-L.jpg,4.6829267,41,2000,Kristin Hannah,560
OL5738154W,The Hero of Ages,The Hero of Ages,"This book is not only the third book in a trilogy, but it’s Act Three of the the three-act structure for the Mistborn Trilogy—it’s the part of the story where the heroes have discovered that what they thought was the problem all along was not the true danger, and now they’re fighting for not only their own survival but that of the world they live in. The mists are killing people and staying out much longer than they should. The Ashmounts are spewing more and more choking ash into the sky, burying the crops that everyone needs to eat to live. And Ruin, the creature Vin was tricked into freeing from its prison of a millennium, is loose to wreak havoc upon the land. Life under the Lord Ruler is starting to look like paradise in comparison.

While the first book in the trilogy turned the standard fantasy story on its head, this volume (perhaps inevitably?) returns in a way to the tropes the first volume was a reaction against. Yet in this case the enemy is not a human or humanlike Dark Lord, but something more like a force of nature—entropy itself given a will and a guiding personality in the form of Ruin.

Ultimately, the book is about how the characters we have grown to love from the previous volumes—Vin, Elend, Sazed, TenSoon, Spook, Marsh, and others—find the courage and faith to fight on in the face of overwhelming odds, just as Kelsier taught them when he plotted the downfall of the Final Empire.",2008,https://covers.openlibrary.org/b/id/14658094-L.jpg,4.5833335,120,2008,Brandon Sanderson,760
OL3431878W,The scam,The scam,"The most thrilling non-fiction business book ever written in India. A fast, colourful narrative, knitting together the life and times of all stock market players involved in two of India's biggest stock market scams.The Scam, a chronicle of two of the most famous scams in the Indian stock markets, is now back in a digital avatar. The story told by Sucheta Dalal and Debashis Basu, can't find a more credible and informed couple of storytellers for these events. First published in April 1993, the book was an immediate bestseller but had been out of print for a while. This 8th edition of the scam includes the original Harshad Mehta Scam and the Ketan Parekh Scam, while also delving into the JPC Fiasco and the Global Trust Bank Scam. The basic question that the book deals with is, ""what really happened in the two great Indian scams?"" The answer to this question, detailed in the book, brings up another important one, ""Have we learnt anything since, so that such things don't happen again?""",1993,https://covers.openlibrary.org/b/id/10486535-L.jpg,4.9333334,15,1993,"Debashis Basu, Sucheta Dalal",304
OL8756332W,The Truth About Stacey,The Truth About Stacey,"America's favorite baby-sitters come to life in a new graphic novel series!

Poor Stacey. She's moved to a new town. She's still coming to terms with her diabetes. She's facing baby-sitting problems left and right. And her parents are no help.

Luckily, Stacey has three new, true friends -- Kristy, Claudia, and Mary Anne. Together they're the BSC -- and they will deal with whatever's thrown their way... even if it's a rival baby-sitting club!",2006,https://covers.openlibrary.org/b/id/7112780-L.jpg,4.6944447,36,2006,Raina Telgemeier,144
OL16474682W,Il principe di Atlantide,Il principe di Atlantide,"At the beach by Mouseford Academy, one of the Thea Sisters discovers a mysterious boy with blue skin washed up on the shore. He speaks an unfamiliar language, so the Thea Sisters call Thea Stilton to help figure out how to communicate with him. She sets the mouselings on an exciting journey across the world to hunt for clues about the boy's origins. Could he be prince of the underwater world of Atlantis? It's up to the Thea Sisters to get him home!",2010,https://covers.openlibrary.org/b/id/7889872-L.jpg,4.882353,17,2010,Elisabetta Dami,320
OL22017172W,Dog Man,Dog Man,"**Dog Man and Petey face their biggest challenges yet in the tenth Dog Man book from worldwide bestselling author and illustrator Dav Pilkey.**

Dog Man is down on his luck, Petey confronts his not so purr-fect past, and Grampa is up to no good. The world is spinning out of control as new villains spill into town. Everything seems dark and full of despair. But hope is not lost. Can the incredible power of love save the day?

Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including love, empathy, kindness, persistence, and the importance of doing good.",2021,https://covers.openlibrary.org/b/id/10527978-L.jpg,4.6842103,38,2021,"Dav Pilkey, Jose Garibaldi",224
OL3004215W,The Indispensable Calvin and Hobbes,The Indispensable Calvin and Hobbes,"Includes cartoons from *The Revenge of the Baby-Sat* and *Scientific Progress Goes ""Boink""*",1992,https://covers.openlibrary.org/b/id/636164-L.jpg,4.6666665,42,1992,Bill Watterson,255
OL16592184M,A faith that does justice,A faith that does justice,,1991,,4.7826085,23,1991,Walter J. Burghardt,11
OL19669249W,Percy Jackson's Greek heroes,Percy Jackson's Greek heroes,"Who cut off Medusa's head? Who was raised by a she-bear? Who tamed Pegasus? It takes a demigod to know, and Percy Jackson can fill you in on the all the daring deeds of Perseus, Atalanta, Bellerophon, and the rest of the major Greek heroes. Told in the funny, irreverent style readers have come to expect from Percy -- Provided by publisher.",2015,https://covers.openlibrary.org/b/id/13012029-L.jpg,4.76,25,2015,Rick Riordan,528
OL17798838W,Dog Man,Dog Man,"**A cute kitten disrupts Petey's plans in the third Dog Man book from worldwide bestselling author and artist Dav Pilkey.**

He was the best of dogs... He was the worst of dogs... It was the age of invention... It was the season of surprise... It was the eve of supa sadness... It was the dawn of hope... Dog Man hasn't always been a paws-itive addition to the police force. While he can muzzle miscreants, he tends to leave a slick of slobber in his wake! This time, Petey the Cat's dragged in a tiny bit of trouble -- a double in the form of a kitten clone. Dog Man will have to work twice as hard to bust these furballs and remain top dog!

Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of being true to one's self.",1999,https://covers.openlibrary.org/b/id/14415649-L.jpg,4.5842695,89,1999,Dav Pilkey,256
OL43024W,As a man thinketh,As a man thinketh,On new thought.,1902,https://covers.openlibrary.org/b/id/6268048-L.jpg,4.675676,37,1902,James Allen,44
OL16283578W,"To Selena, with love","To Selena, with love","Chris Perez tells the story of his relationship with music superstar Selena in this heartfelt tribute.

One of the most compelling and adored superstars in Latin music history, Selena was nothing short of a phenomenon who shared all of herself with her millions of devoted fans. Her tragic murder, at the young age of twenty-three, stripped the world of her talent and boundless potential, her tightly knit family of their beloved angel, and her husband, Chris Perez, of the greatest love he had ever known.

For over a decade, Chris held on to the only personal thing he had left from his late wife: the touching and sometimes painful memories of their very private bond. Now, for the first time, Chris opens up about their unbreakable friendship, forbidden relationship, and blossoming marriage, which were cut short by Selena’s unforgivable death.

Chris’s powerful story gives a rare glimpse into Selena’s sincerity and vulnerability when falling in love, strength and conviction when fighting for that love, and absolute resilience when finding peace and normalcy with her family’s acceptance of the only man she called her husband. While showcasing a side of Selena that has never been disclosed before and clarifying certain misconceptions about her life and death, To Selena, with Love is an everlasting love story that immortalizes the heart and soul of an extraordinary, unforgettable, and irreplaceable icon.",2002,https://covers.openlibrary.org/b/id/7126420-L.jpg,5,12,2002,Chris Perez,320
OL43950584W,Easily Learn Bengali,Easily Learn Bengali,A Beginner's Friendly Guide to Speaking and Understanding **Bengali**.,2025,https://covers.openlibrary.org/b/id/15223500-L.jpg,5,12,2025,MD Abdul Ahad Shanto,24
OL44291707W,The Independent Musician’s Blueprint,The Independent Musician’s Blueprint,,2025,https://covers.openlibrary.org/b/id/15136039-L.jpg,5,12,2025,MD Abdul Ahad Shanto,79
OL44298740W,The eBook Publisher’s Handbook,The eBook Publisher’s Handbook,,2025,https://covers.openlibrary.org/b/id/15136263-L.jpg,5,12,2025,MD Abdul Ahad Shanto,80
OL5110680W,Elvis and me,Elvis and me,"Elvis and Me is a 1985 biography written by Priscilla Presley with Sandra Harmon. In the book, Priscilla talks about meeting Elvis Presley, their marriage, and the factors and issues that led to the couple's divorce.",1985,https://covers.openlibrary.org/b/id/9736400-L.jpg,4.875,16,1985,Priscilla Beaulieu Presley,320
OL1973442W,Frog and Toad All Year,Frog and Toad All Year,"Frog and Toad All Year is an American picture book written and illustrated by Arnold Lobel, published by Harper & Row in 1976. It is the third book in the Frog and Toad series, whose four books completed by Lobel comprise five easy-to-read short stories each.

----------
Also contained in:
[The Frog and Toad Treasury](https://openlibrary.org/works/OL1973505W)",1976,https://covers.openlibrary.org/b/id/11305216-L.jpg,4.8,20,1976,Arnold Lobel,64
OL16592184W,Prisoner B-3087,Prisoner B-3087,"From Alan Gratz, the #1 New York Times bestselling author of Refugee, comes this wrenching novel about one boy's struggle to survive ten concentration camps during the Holocaust. Based on the inspiring true life story of Jack Gruener.
10 concentration camps. 10 different places where you are starved, tortured, and worked mercilessly. It's something no one could imagine surviving. But it is what Yanek Gruener has to face. As a Jewish boy in 1930s Poland, Yanek is at the mercy of the Nazis who have taken over. Everything he has, and everyone he loves, have been snatched brutally from him. And then Yanek himself is taken prisoner -- his arm tattooed with the words PRISONER B-3087. He is forced from one nightmarish concentration camp to another, as World War II rages all around him. He encounters evil he could have never imagined, but also sees surprising glimpses of hope amid the horror. He just barely escapes death, only to confront it again seconds later. Can Yanek make it through the terror without losing his hope, his will -- and, most of all, his sense of who he really is inside? Based on an astonishing true story.

Based on the true story by Ruth and Jack Gruener.

Ten concentration camps.

Ten different places where you are starved, tortured, and worked mercilessly.

It's something no one could imagine surviving.

But it is what Yanek Gruener has to face.""",2013,https://covers.openlibrary.org/b/id/14416408-L.jpg,4.7727275,22,2013,Alan Gratz,
OL20736929W,"Heartstopper, Volume 3","Heartstopper, Volume 3","The third volume in the poignant and sweet Heartstopper series, featuring beautiful two-color artwork!

Now streaming on Netflix!

Charlie didn't think Nick could ever like him back, but now they're officially boyfriends. Nick has even found the courage to come out to his mom.But coming out isn't something that happens just once, and Nick and Charlie try to figure out when to tell their friends that they're dating. Not being out to their classmates gets even harder during a school trip to Paris. As Nick and Charlie's feelings get more serious, they'll need each other more than ever.",2020,https://covers.openlibrary.org/b/id/10846814-L.jpg,4.714286,28,2020,Alice Oseman,384
OL15837481W,Jung's map of the soul,Jung's map of the soul,"More than a mere overview, the book offers readers a strong grounding in the basic principles of Jung's analytical psychology in addition to illuminating insights.
Stein could just as aptly have named his introductory guide ""Jung's Art of the Soul,"" for the course the founder of analytical psychology charted also has the intuitive sweep of an artist on an inner journey integrated within a systematic framework of techniques. Though acknowledging Jung's creative, intuitive approach to fathoming the mysteries of the individual and collective human psyche, the author presents a solid case for the basic coherency and empirical underpinnings of the great psychoanalyst's theory-counter to those who viewed him as more of a mystic or philosopher who espoused: ""As within, so without."" Territory consciously omitted from this psychic map concern his analytic practice and interpretation of culture, history, and religion. Organized like a graduate thesis, all the major concepts that evolved over Jung's lengthy career are lucidly summarized with some contextual details: ego-consciousness, complexes, libido theory, archetypes, persona/shadow, anima/animus, the self, individuation, and synchronicity. While this presentation is eminently more accessible than most Jungian texts-and Stein does preface it with personal remarks about his long-time attraction to Jung-those who seek a sense of Jung's own voice and personal development in his quest for answers to many of life's enigmas will have their appetites whet to explore further.",1998,https://covers.openlibrary.org/b/id/14416012-L.jpg,4.714286,28,1998,Murray Stein,244
OL16341254W,A Monster Calls,A Monster Calls,"A brilliant, graphic novel written by young but promising Patrick Ness. This is the story about 13 year old Conor and his mother who is dying of cancer. Conor has to face the cruelty of real life and learn to let his close and dearest go. When no human can help him Monster appears...",2011,https://covers.openlibrary.org/b/id/7011713-L.jpg,4.7,30,2011,"Patrick Ness, Jim Kay, Siobhan Dowd",224
OL17718538W,Queen of Shadows,Queen of Shadows,"Everyone Celaena Sardothien loves has been taken from her. But she's at last returned to the empire-for vengeance, to rescue her once-glorious kingdom, and to confront the shadows of her past...

She has embraced her identity as Aelin Galathynius, Queen of Terrasen. But before she can reclaim her throne, she must fight.

She will fight for her cousin, a warrior prepared to die just to see her again. She will fight for her friend, a young man trapped in an unspeakable prison. And she will fight for her people, enslaved to a brutal king and awaiting their lost queen's triumphant return.

Celaena's epic journey has captured the hearts and imaginations of millions across the globe. This fourth volume will hold readers rapt as Celaena's story builds to a passionate, agonizing crescendo that might just shatter her world.",2015,https://covers.openlibrary.org/b/id/7994583-L.jpg,4.65,40,2015,Sarah J. Maas,672
OL2163649W,The Hitch Hiker's Guide to the Galaxy,The Hitch Hiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy is the first of six books in the Hitchhiker's Guide to the Galaxy comedy science fiction ""hexalogy"" by Douglas Adams. The novel is an adaptation of the first four parts of Adams's radio series of the same name. The novel was first published in London on 12 October 1979. It sold 250,000 copies in the first three months.

The namesake of the novel is The Hitchhiker's Guide to the Galaxy, a fictional guide book for hitchhikers (inspired by the Hitch-hiker's Guide to Europe) written in the form of an encyclopaedia.


----------
Also contained in:

 - [The Hitch Hiker's Guide to the Galaxy: A Trilogy in Four Parts][1]
 - [The More than Complete Hitchhiker's Guide][2]
 - [Ultimate Hitchhiker's Guide to the Galaxy](https://openlibrary.org/works/OL2163706W)

  [1]: https://openlibrary.org/works/OL2163692W
  [2]: https://openlibrary.org/works/OL2163713W",1979,https://covers.openlibrary.org/b/id/12986869-L.jpg,4.5380116,171,1979,Douglas Adams,216
OL17793648W,The Silver Eyes (Five Nights At Freddy's #1),The Silver Eyes (Five Nights At Freddy's #1),"Ten years after the horrific murders at Freddy Fazbear's Pizza that ripped their town apart, Charlie, whose father owned the restaurant, and her childhood friends reunite on the anniversary of the tragedy and find themselves at the old pizza place which had been locked up and abandoned for years. After they discover a way inside, they realize that things are not as they used to be. The four adult-sized animatronic mascots that once entertained patrons have changed. They now have a dark secret . . . and a murderous agenda.",2001,https://covers.openlibrary.org/b/id/8075533-L.jpg,4.581081,74,2001,"Scott Cawthon, Kira Breed-Wrisley",396
OL15358691W,The Way of Kings,The Way of Kings,"Widely acclaimed for his work completing Robert Jordan’s Wheel of Time saga, Brandon Sanderson now begins a grand cycle of his own, one every bit as ambitious and immersive.

Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter.

It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars are fought for them, and won by them.

One such war rages on a ruined landscape called the Shattered Plains. There, Kaladin, who traded his medical apprenticeship for a spear, has been reduced to slavery. In a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable.

Brightlord Dalinar Kholin commands one of those other armies. Like his brother, the late king, he is fascinated by an ancient text called The Way of Kings. Troubled by overpowering visions of ancient times and the Knights Radiant, he has begun to doubt his own sanity.

Across the ocean, an untried young woman named Shallan seeks to train under the eminent scholar and notorious heretic Jasnah Kholin, Dalinar’s niece. Though she genuinely loves learning, Shallan’s motives are less than pure. As she plans a daring theft, her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war.

The result of more than ten years of planning, writing, and worldbuilding, The Way of Kings is but the opening movement of the Stormlight Archive, a bold masterpiece in the making.

Speak again the ancient oaths,

Life before death.
Strength before weakness.
Journey before destination.

and return to men the Shards they once bore.

The Knights Radiant must stand again.

-From Cover Flap",2010,https://covers.openlibrary.org/b/id/14658316-L.jpg,4.535484,155,2010,Brandon Sanderson,1008
OL1938043W,Fear no evil,Fear no evil,"The prison memoirs of the Soviet dissident and Jewish activist relate the harrowing events of his nine years in KGB custody, from interrogation to release.",1988,https://covers.openlibrary.org/b/id/9156872-L.jpg,4.56962,79,1988,Anatoly Shcharansky,437
OL66946W,"A child called ""it""","A child called ""it""","This book chronicles the unforgettable account of one of the most severe child abuse cases in California history. It is the story of Dave Pelzer, who was brutally beaten and starved by his emotionally unstable, alcoholic mother: a mother who played tortuous, unpredictable games--games that left him nearly dead. He had to learn how to play his mother's games in order to survive because she no longer considered him a son, but a slave; and no longer a boy, but an ""it.""

Dave's bed was an old army cot in the basement, and his clothes were torn and raunchy. When his mother allowed him the luxury of food, it was nothing more than spoiled scraps that even the dogs refused to eat. The outside world knew nothing of his living nightmare. He had nothing or no one to turn to, but his dreams kept him alive--dreams of someone taking care of him, loving him and calling him their son.",1987,https://covers.openlibrary.org/b/id/14559604-L.jpg,4.5733333,75,1987,David J. Pelzer,168
OL453733W,Going Postal,Going Postal,"Suddenly, condemned arch-swindler Moist von Lipwig found himself with a noose around his neck and dropping through a trapdoor into ... a government job? By all rights, Moist should be meeting his maker rather than being offered a position as Postmaster by Lord Vetinari, supreme ruler of Ankh-Morpork. Getting the moribund Postal Service up and running again, however, may prove an impossible task, what with literally mountains of decades-old undelivered mail clogging every nook and cranny of the broken-down post office. Worse still, Moist could swear the mail is talking to him. Worst of all, it means taking on the gargantuan, greedy Grand Trunk clacks communication monopoly and its bloodthirsty piratical headman. But if the bold and undoable are what's called for, Moist's the man for the job -- to move the mail, continue breathing, get the girl, and specially deliver that invaluable commodity that every being, human or otherwise, requires: hope.",2004,https://covers.openlibrary.org/b/id/14646992-L.jpg,4.5901637,61,2004,Terry Pratchett,416
OL3004224W,The essential Calvin and Hobbes,The essential Calvin and Hobbes,"Beginning with the day Hobbes sprang into Calvin's tuna fish trap, the first two Calvin and Hobbes collections, Calvin and Hobbes and Something Under The Bed Is Drooling, are brought together in this treasury. Including black-and-white dailies and color Sundays, The Essential Calvin and Hobbes also features an original full-color 16-page story.

Perhaps the most brilliant comic strip ever created, Calvin and Hobbes continues to entertain with dazzling cartooning and tremendous humor.
Bill Watterson's Calvin and Hobbes has been a worldwide favorite since its introduction in 1985. The strip follows the richly imaginative adventures of Calvin and his trusty tiger, Hobbes. Whether a poignant look at serious family issues or a round of time-travel (with the aid of a well-labeled cardboard box), Calvin and Hobbes will astound and delight you.",1988,https://covers.openlibrary.org/b/id/636119-L.jpg,4.677419,31,1988,Bill Watterson,254
OL17710016W,Exile,Exile,"Sophie is settling in nicely to her new home and her new life in the world of the lost cities. And it helps that living at Havenfield means getting to spend time with rare, precious species—including the first female Alicorn, who shows herself to Sophie and trusts no one but her.

Sophie is tasked with helping to train the magical creature so that the Alicorn can be revealed to the people of the lost cities as a sign of hope, and Sophie wants to believe that the recent drama and anguish is gone for good.

But the secrets buried deep in Sophie’s memories remain, and before long before she’s back in incredible danger, risking everything to find the answers to questions that could save not only her life, but the life of someone close to her…

[Also at archive.org here: https://archive.org/details/exile0000mess]",2012,https://covers.openlibrary.org/b/id/12812591-L.jpg,4.703704,27,2012,Shannon Messenger,572
OL17209694W,Amore alla corte degli zar,Amore alla corte degli zar,The Thea Sisters are in Russia and they find an unexpected mystery when a robbery happens. The Thea Sisters investigate until they almost give up hope when they find something that gives them a breakthrough.,1900,https://covers.openlibrary.org/b/id/7373904-L.jpg,4.72,25,1900,Elisabetta Dami,176
OL221977W,Charlotte's Web,Charlotte's Web,,2006,https://covers.openlibrary.org/b/id/38950-L.jpg,4.8235292,17,2006,Jennifer Frantz,32
OL449277W,Frog and Toad Are Friends,Frog and Toad Are Friends,"Frog and Toad Are Friends is an American children's picture book, written and illustrated by Arnold Lobel and published by Harper & Row in 1970. It inaugurated the Frog and Toad series, whose four books completed by Lobel comprise five easy-to-read short stories each. It was a Caldecott Honor Book, or runner-up for the American Library Association Caldecott Medal, which recognizes the year's best illustration in an American children's picture book.


----------
Also contained in:
[Adventures of Frog and Toad](https://openlibrary.org/works/OL15428561W)
[The Frog and Toad Treasury](https://openlibrary.org/works/OL1973505W)",1920,https://covers.openlibrary.org/b/id/11303047-L.jpg,4.866667,15,1920,Arnold Lobel,64
OL15396986W,The encyclopedia Americana 1958- Antartic,The encyclopedia Americana 1958- Antartic,"ENCYCLOPEDIA 📚 AMERICAN 1958 page 14
ENCICLOPÉDIA 📚 AMERICANA DE 1958 página 14

These flights proved THE inland areas to be featurelles in character, with a DOME 13.000 feet hight at about latitude 80º S, longitude 90º E

Esses vôos 🛩 provaram que as áreas do interior (Borda de Gelo ☃️❄️) eram de caráter INCOLOR, com um DOMO de 13.000 pés de altura (04 KILOMETROS DE ALTURA) a cerca de latitude 80º Sul, longitude 90ª Leste",1958,https://covers.openlibrary.org/b/id/15122100-L.jpg,5,11,1958,Americana Corporation,762
